simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
56,2026-01-25T18:10:54.143032,12.66,"{""Fast-Inference"": 0.4005535290360035, ""Standard-Inference"": 0.20604956266651128, ""Complex-Inference"": 0.18040592939968997, ""Ensemble-Inference"": 0.21299097889779525}",0.361,100,"{""2"": 19, ""3"": 30, ""0"": 36, ""1"": 15}",69455,5.94,142.03,23.93,1.4203,16.85,1,116,117
57,2026-01-25T18:11:06.089940,26.44,"{""Fast-Inference"": 0.40606046503027926, ""Standard-Inference"": 0.18282074913546442, ""Complex-Inference"": 0.19875133876059706, ""Ensemble-Inference"": 0.21236744707365915}",0.395,93,"{""0"": 38, ""1"": 17, ""3"": 20, ""2"": 18}",56986,5.92,140.37,23.71,1.5093,15.71,1,118,119
58,2026-01-25T18:11:18.303082,18.09,"{""Fast-Inference"": 0.4302160568887378, ""Standard-Inference"": 0.19700574149114827, ""Complex-Inference"": 0.18120926603109208, ""Ensemble-Inference"": 0.19156893558902197}",0.392,100,"{""0"": 47, ""3"": 20, ""2"": 14, ""1"": 19}",55057,6.23,145.29,23.31,1.4529,16.04,1,120,121
59,2026-01-25T18:11:30.071586,28.99,"{""Fast-Inference"": 0.3826252361398719, ""Standard-Inference"": 0.21460392080345164, ""Complex-Inference"": 0.21841981913489386, ""Ensemble-Inference"": 0.18435102392178263}",0.809,100,"{""0"": 47, ""3"": 19, ""2"": 19, ""1"": 15}",61505,5.93,143.89,24.26,1.4389,16.86,1,122,123
60,2026-01-25T18:11:42.346974,24.15,"{""Fast-Inference"": 0.39491411391247966, ""Standard-Inference"": 0.19871101238839378, ""Complex-Inference"": 0.2052936412765916, ""Ensemble-Inference"": 0.20108123242253484}",0.471,100,"{""1"": 20, ""0"": 39, ""3"": 22, ""2"": 19}",64951,6.23,149.31,23.95,1.4931,16.04,1,124,125
61,2026-01-25T18:11:54.123390,6.48,"{""Fast-Inference"": 0.39831378434860465, ""Standard-Inference"": 0.17438969473095142, ""Complex-Inference"": 0.21377008062258362, ""Ensemble-Inference"": 0.21352644029786047}",0.46,89,"{""0"": 33, ""2"": 17, ""3"": 25, ""1"": 14}",61885,5.91,144.31,24.41,1.6214,15.06,1,126,127
62,2026-01-25T18:12:06.339449,8.81,"{""Fast-Inference"": 0.3939420321723554, ""Standard-Inference"": 0.20307726748053628, ""Complex-Inference"": 0.21730795229594396, ""Ensemble-Inference"": 0.18567274805116443}",0.684,100,"{""2"": 15, ""1"": 23, ""3"": 21, ""0"": 41}",55813,6.23,148.15,23.76,1.4815,16.04,1,128,129
63,2026-01-25T18:12:18.131981,21.24,"{""Fast-Inference"": 0.3780938354520168, ""Standard-Inference"": 0.17760922150892322, ""Complex-Inference"": 0.21474568403845137, ""Ensemble-Inference"": 0.22955125900060858}",0.911,100,"{""2"": 20, ""3"": 21, ""1"": 18, ""0"": 41}",73538,5.93,142.66,24.07,1.4266,16.87,1,130,131
64,2026-01-25T18:12:30.247478,18.83,"{""Fast-Inference"": 0.43459094674412374, ""Standard-Inference"": 0.17024752218134226, ""Complex-Inference"": 0.175750110090733, ""Ensemble-Inference"": 0.21941142098380112}",0.485,99,"{""1"": 20, ""3"": 22, ""2"": 14, ""0"": 43}",63141,6.09,144.25,23.7,1.4571,16.26,1,132,133
65,2026-01-25T18:12:42.305867,17.51,"{""Fast-Inference"": 0.38096369614505865, ""Standard-Inference"": 0.21276226921471394, ""Complex-Inference"": 0.19605756043166456, ""Ensemble-Inference"": 0.2102164742085629}",0.946,100,"{""0"": 40, ""3"": 21, ""2"": 14, ""1"": 25}",64163,6.23,150.52,24.16,1.5052,16.05,1,134,135
66,2026-01-25T18:12:54.089788,18.56,"{""Fast-Inference"": 0.3920815016156007, ""Standard-Inference"": 0.17937368780794044, ""Complex-Inference"": 0.1963742709828618, ""Ensemble-Inference"": 0.2321705395935971}",0.649,86,"{""1"": 16, ""0"": 31, ""2"": 20, ""3"": 19}",57802,5.9,139.57,23.64,1.6229,14.57,1,136,137
67,2026-01-25T18:13:06.100971,11.54,"{""Fast-Inference"": 0.36172185552088437, ""Standard-Inference"": 0.1976350407992669, ""Complex-Inference"": 0.22843387566669116, ""Ensemble-Inference"": 0.21220922801315764}",0.882,86,"{""2"": 22, ""3"": 16, ""0"": 34, ""1"": 14}",64598,5.9,142.4,24.13,1.6558,14.57,1,138,139
68,2026-01-25T18:13:18.293061,16.32,"{""Fast-Inference"": 0.42277571417757415, ""Standard-Inference"": 0.18372586958171577, ""Complex-Inference"": 0.19644640891954668, ""Ensemble-Inference"": 0.19705200732116337}",0.852,91,"{""0"": 35, ""3"": 15, ""1"": 18, ""2"": 23}",59513,6.22,146.06,23.48,1.605,14.63,1,140,141
69,2026-01-25T18:13:30.358326,7.78,"{""Fast-Inference"": 0.3883079061721446, ""Standard-Inference"": 0.20916052471062938, ""Complex-Inference"": 0.21904381776608603, ""Ensemble-Inference"": 0.18348775135113998}",0.405,100,"{""0"": 35, ""3"": 25, ""2"": 18, ""1"": 22}",67475,6.24,148.45,23.81,1.4845,16.04,1,142,143
70,2026-01-25T18:13:42.288368,7.86,"{""Fast-Inference"": 0.3716953272438541, ""Standard-Inference"": 0.2298822878572723, ""Complex-Inference"": 0.214112732966705, ""Ensemble-Inference"": 0.1843096519321686}",0.542,92,"{""1"": 26, ""0"": 32, ""2"": 21, ""3"": 13}",58333,6.22,147.37,23.7,1.6018,14.8,1,144,145
71,2026-01-25T18:13:54.355837,28.14,"{""Fast-Inference"": 0.3982842371459677, ""Standard-Inference"": 0.19855968362083637, ""Complex-Inference"": 0.2162907131447746, ""Ensemble-Inference"": 0.18686536608842144}",0.514,100,"{""2"": 20, ""3"": 20, ""0"": 38, ""1"": 22}",69453,6.23,151.0,24.23,1.51,16.05,1,146,147
72,2026-01-25T18:14:06.297300,12.46,"{""Fast-Inference"": 0.4107907063388355, ""Standard-Inference"": 0.2127433075042054, ""Complex-Inference"": 0.18805704169567003, ""Ensemble-Inference"": 0.18840894446128914}",0.592,92,"{""1"": 20, ""3"": 22, ""0"": 31, ""2"": 19}",64979,6.22,147.88,23.79,1.6074,14.8,1,148,149
73,2026-01-25T18:14:18.349368,27.89,"{""Fast-Inference"": 0.40609258890570815, ""Standard-Inference"": 0.20055488795116685, ""Complex-Inference"": 0.2024189528883543, ""Ensemble-Inference"": 0.19093357025477076}",0.84,92,"{""0"": 42, ""2"": 18, ""3"": 10, ""1"": 22}",52069,6.22,145.57,23.4,1.5823,14.79,1,150,151
