simulation_id,timestamp,arrival_rate,expert_weights,complexity_sigma,tx_count,tx_by_model,total_bytes,duration_s,energy_j,power_w,j_per_tx,tx_per_second,blocks_used,start_block,end_block
106,2026-01-25T14:48:00.311032,19.48,"{""Fast"": 0.5151169593697894, ""Standard"": 0.2929597754041923, ""Complex"": 0.14784920754061154, ""Ensemble"": 0.044074057685406676}",0.966,100,"{""0"": 50, ""2"": 17, ""1"": 24, ""3"": 9}",57655,6.22,153.02,24.59,1.5302,16.07,1,216,217
107,2026-01-25T14:48:12.074021,5.86,"{""Fast"": 0.5011679918637285, ""Standard"": 0.2793789695256988, ""Complex"": 0.16114793311260037, ""Ensemble"": 0.0583051054979724}",0.345,100,"{""0"": 55, ""2"": 16, ""3"": 4, ""1"": 25}",40209,5.93,141.01,23.79,1.4101,16.87,1,218,219
108,2026-01-25T14:48:24.090343,24.42,"{""Fast"": 0.4955879560034746, ""Standard"": 0.32750891614832944, ""Complex"": 0.12477322193927202, ""Ensemble"": 0.05212990590892399}",0.311,100,"{""1"": 24, ""0"": 51, ""2"": 18, ""3"": 7}",46476,5.92,142.17,24.0,1.4217,16.88,1,220,221
109,2026-01-25T14:48:36.111385,10.48,"{""Fast"": 0.46779046694850185, ""Standard"": 0.33964791740706257, ""Complex"": 0.13685797218572388, ""Ensemble"": 0.055703643458711746}",0.552,85,"{""0"": 32, ""1"": 27, ""2"": 18, ""3"": 8}",49517,5.9,141.78,24.03,1.6681,14.4,1,222,223
110,2026-01-25T14:48:48.345096,5.55,"{""Fast"": 0.4671982518321978, ""Standard"": 0.3122684165719599, ""Complex"": 0.17190679327596603, ""Ensemble"": 0.04862653831987634}",0.359,100,"{""0"": 45, ""1"": 31, ""2"": 20, ""3"": 4}",46306,6.23,148.8,23.88,1.488,16.05,1,224,225
111,2026-01-25T14:49:00.373614,9.36,"{""Fast"": 0.45558701049518285, ""Standard"": 0.35149651108334035, ""Complex"": 0.13460035716107668, ""Ensemble"": 0.058316121260400144}",0.871,100,"{""0"": 45, ""3"": 8, ""1"": 37, ""2"": 10}",45753,6.23,154.37,24.79,1.5437,16.06,1,226,227
112,2026-01-25T14:49:12.075724,21.41,"{""Fast"": 0.4887575628649874, ""Standard"": 0.32932386338771147, ""Complex"": 0.14007514225715093, ""Ensemble"": 0.04184343149015008}",0.51,100,"{""1"": 33, ""2"": 11, ""3"": 3, ""0"": 53}",40054,5.92,143.49,24.22,1.4349,16.88,1,228,229
113,2026-01-25T14:49:24.096152,19.71,"{""Fast"": 0.47552916684531826, ""Standard"": 0.3274514968839027, ""Complex"": 0.14897493956046554, ""Ensemble"": 0.04804439671031359}",0.472,100,"{""0"": 41, ""1"": 43, ""3"": 7, ""2"": 9}",42708,5.92,143.03,24.16,1.4303,16.89,1,230,231
114,2026-01-25T14:49:36.146581,18.59,"{""Fast"": 0.49770942539718793, ""Standard"": 0.2909264335507405, ""Complex"": 0.1586633958339381, ""Ensemble"": 0.052700745218133435}",0.95,100,"{""2"": 24, ""0"": 43, ""1"": 25, ""3"": 8}",59909,5.93,141.13,23.8,1.4113,16.86,1,232,233
115,2026-01-25T14:49:48.300519,9.5,"{""Fast"": 0.48659533250891146, ""Standard"": 0.32641124022918566, ""Complex"": 0.13898317877351174, ""Ensemble"": 0.04801024848839124}",0.859,94,"{""0"": 49, ""1"": 25, ""2"": 15, ""3"": 5}",43941,6.22,155.04,24.94,1.6494,15.12,1,234,235
116,2026-01-25T14:50:00.150742,7.2,"{""Fast"": 0.511894393016898, ""Standard"": 0.29954148672767966, ""Complex"": 0.13666729943010603, ""Ensemble"": 0.05189682082531633}",0.314,100,"{""1"": 33, ""0"": 44, ""2"": 16, ""3"": 7}",46037,5.93,145.72,24.57,1.4572,16.86,1,236,237
117,2026-01-25T14:50:12.309099,11.51,"{""Fast"": 0.5054431310662924, ""Standard"": 0.31236477905088034, ""Complex"": 0.13349034312112967, ""Ensemble"": 0.04870174676169779}",0.62,92,"{""2"": 13, ""0"": 46, ""3"": 5, ""1"": 28}",43385,6.22,145.85,23.45,1.5853,14.79,1,238,239
118,2026-01-25T14:50:24.130911,11.91,"{""Fast"": 0.4624126557647716, ""Standard"": 0.322528277234819, ""Complex"": 0.15839040708311744, ""Ensemble"": 0.05666865991729203}",0.779,100,"{""0"": 43, ""2"": 18, ""1"": 32, ""3"": 7}",52107,5.93,141.82,23.9,1.4182,16.85,1,240,241
119,2026-01-25T14:50:36.324584,13.33,"{""Fast"": 0.5143826317811208, ""Standard"": 0.2882839744538582, ""Complex"": 0.15402301399907992, ""Ensemble"": 0.04331037976594114}",0.668,100,"{""0"": 56, ""1"": 29, ""2"": 9, ""3"": 6}",44864,6.23,148.98,23.91,1.4898,16.05,1,242,243
120,2026-01-25T14:50:48.312770,22.83,"{""Fast"": 0.5282358259903658, ""Standard"": 0.28682515985211515, ""Complex"": 0.13186321507766963, ""Ensemble"": 0.05307579907984946}",0.329,90,"{""0"": 51, ""1"": 23, ""3"": 5, ""2"": 11}",36133,6.21,148.94,23.97,1.6549,14.48,1,244,245
121,2026-01-25T14:51:00.133386,13.26,"{""Fast"": 0.47890769551465434, ""Standard"": 0.3258710468134536, ""Complex"": 0.13888542505756088, ""Ensemble"": 0.05633583261433117}",0.429,99,"{""1"": 28, ""0"": 51, ""2"": 14, ""3"": 6}",43789,5.93,145.26,24.52,1.4673,16.71,1,246,247
